Method,Class,Count,Avg_Conf
IR,bicycle,0,0.0
IR,bus,24,0.5229
IR,car,593,0.6037
IR,motorcycle,5,0.4146
IR,person,536,0.61
IR,traffic light,20,0.3992
IR,truck,38,0.4828
VI,bicycle,0,0.0
VI,bus,40,0.6268
VI,car,828,0.6343
VI,motorcycle,9,0.5366
VI,person,403,0.6
VI,traffic light,58,0.5166
VI,truck,78,0.5428
FusionMamba,bicycle,2,0.2912
FusionMamba,bus,42,0.5317
FusionMamba,car,795,0.6287
FusionMamba,motorcycle,7,0.5433
FusionMamba,person,568,0.5938
FusionMamba,traffic light,26,0.4799
FusionMamba,truck,49,0.5131
ITFuse,bicycle,0,0.0
ITFuse,bus,37,0.5176
ITFuse,car,807,0.6325
ITFuse,motorcycle,5,0.5593
ITFuse,person,548,0.5905
ITFuse,traffic light,31,0.4497
ITFuse,truck,47,0.5437
MAEFuse,bicycle,1,0.2611
MAEFuse,bus,33,0.5472
MAEFuse,car,738,0.6201
MAEFuse,motorcycle,8,0.4675
MAEFuse,person,530,0.582
MAEFuse,traffic light,37,0.4305
MAEFuse,truck,51,0.5352
SFDFuse,bicycle,1,0.5486
SFDFuse,bus,34,0.5509
SFDFuse,car,819,0.628
SFDFuse,motorcycle,7,0.516
SFDFuse,person,582,0.5829
SFDFuse,traffic light,32,0.4485
SFDFuse,truck,53,0.5541
LAMF,bicycle,0,0.0
LAMF,bus,36,0.5329
LAMF,car,801,0.6333
LAMF,motorcycle,7,0.5713
LAMF,person,587,0.5813
LAMF,traffic light,35,0.4239
LAMF,truck,47,0.5855
