Image,Method,Total_Detections,Avg_Conf,TP,FP,GT_Count
00000.png,IR,6,0.7134452064832052,6,0,9
00011.png,IR,8,0.6834449470043182,6,2,9
00025.png,IR,6,0.5014667809009552,5,1,7
00031.png,IR,8,0.5544759035110474,8,0,8
00033.png,IR,11,0.5858592743223364,9,2,10
00042.png,IR,5,0.41975106596946715,2,3,7
00061.png,IR,5,0.6067056953907013,5,0,5
00071.png,IR,2,0.39649078249931335,1,1,3
00082.png,IR,2,0.5734038650989532,2,0,3
00097.png,IR,1,0.48882371187210083,1,0,2
00107.png,IR,8,0.46552636101841927,3,5,3
00112.png,IR,8,0.5471617542207241,8,0,14
00118.png,IR,6,0.546012615164121,5,1,9
00147.png,IR,9,0.5002955827448103,7,2,16
00149.png,IR,7,0.48200786113739014,4,3,6
00150.png,IR,11,0.5148903456601229,7,4,8
00159.png,IR,6,0.6186554729938507,4,2,8
00177.png,IR,7,0.5898876999105725,6,1,10
00196.png,IR,7,0.5668128771441323,7,0,10
00202.png,IR,8,0.5656115561723709,8,0,10
00210.png,IR,4,0.6763433814048767,4,0,6
00215.png,IR,5,0.6347759187221527,4,1,4
00232.png,IR,6,0.6175126781066259,6,0,6
00242.png,IR,5,0.5019040763378143,3,2,7
00255.png,IR,1,0.8328522443771362,1,0,1
00274.png,IR,3,0.555217832326889,2,1,2
00284.png,IR,2,0.7968699634075165,2,0,2
00290.png,IR,2,0.829370766878128,2,0,2
00306.png,IR,2,0.835138350725174,2,0,2
00320.png,IR,2,0.8206370174884796,2,0,2
00325.png,IR,1,0.8107492327690125,1,0,1
00334.png,IR,1,0.6973715424537659,1,0,1
00339.png,IR,1,0.42970719933509827,0,1,0
00349.png,IR,1,0.8945179581642151,1,0,1
00353.png,IR,1,0.8759346604347229,1,0,1
00370.png,IR,1,0.8685834407806396,1,0,1
00385.png,IR,1,0.8949754238128662,1,0,1
00386.png,IR,9,0.5890582435660892,7,2,7
00388.png,IR,11,0.5523899929089979,10,1,11
00389.png,IR,13,0.5263137519359589,6,7,8
00390.png,IR,9,0.6530325909455618,7,2,7
00400.png,IR,6,0.6342701812585195,5,1,5
00405.png,IR,15,0.5740036229292552,10,5,11
00409.png,IR,10,0.6177175283432007,7,3,8
00419.png,IR,3,0.7177553772926331,2,1,2
00421.png,IR,15,0.5770420253276825,7,8,8
00434.png,IR,12,0.6108981718619665,10,2,11
00441.png,IR,8,0.6410938613116741,8,0,9
00443.png,IR,4,0.5425860583782196,4,0,4
00449.png,IR,6,0.7373671978712082,5,1,6
00453.png,IR,5,0.6741818606853485,4,1,4
00461.png,IR,9,0.5689818064371744,4,5,4
00479.png,IR,6,0.7143130898475647,4,2,4
00489.png,IR,7,0.6314771388258252,5,2,5
00497.png,IR,9,0.5235974192619324,6,3,6
00512.png,IR,9,0.6297751598887973,6,3,6
00525.png,IR,12,0.57542401800553,6,6,6
00527.png,IR,10,0.5608598202466964,6,4,7
00537.png,IR,9,0.6388979951540629,7,2,10
00555.png,IR,10,0.5691706508398056,7,3,9
00572.png,IR,11,0.5498616641218012,6,5,11
00587.png,IR,3,0.5369183917840322,2,1,7
00606.png,IR,7,0.6896092551095145,6,1,7
00621.png,IR,7,0.6358147050653186,6,1,7
00633.png,IR,7,0.691684888941901,6,1,7
00643.png,IR,1,0.3849012851715088,0,1,1
00652.png,IR,4,0.3262825235724449,1,3,2
00653.png,IR,3,0.4652106662591298,2,1,2
00661.png,IR,3,0.8299762805302938,3,0,3
00671.png,IR,4,0.708672545850277,4,0,5
00676.png,IR,4,0.7523800283670425,4,0,4
00677.png,IR,6,0.5687722166379293,5,1,6
00687.png,IR,6,0.559082900484403,6,0,7
00697.png,IR,6,0.5572558989127477,5,1,6
00712.png,IR,1,0.7891938090324402,1,0,1
00716.png,IR,1,0.8030388355255127,1,0,1
00719.png,IR,0,0.0,0,0,0
00725.png,IR,1,0.8787216544151306,1,0,1
00726.png,IR,1,0.8820210695266724,1,0,1
00738.png,IR,0,0.0,0,0,1
00760.png,IR,1,0.40109384059906006,1,0,1
00762.png,IR,1,0.891754686832428,1,0,1
00769.png,IR,1,0.4147307574748993,0,1,0
00787.png,IR,2,0.6130951046943665,1,1,2
00800.png,IR,0,0.0,0,0,0
00801.png,IR,3,0.5805693566799164,2,1,2
00805.png,IR,3,0.6303376257419586,2,1,3
00818.png,IR,2,0.5862730741500854,1,1,1
00825.png,IR,3,0.8511297106742859,3,0,3
00826.png,IR,3,0.8482833902041117,3,0,3
00829.png,IR,3,0.8460418581962585,3,0,4
00834.png,IR,3,0.6203107237815857,2,1,3
00857.png,IR,3,0.5010478397210439,2,1,2
00867.png,IR,2,0.5008208155632019,2,0,2
00871.png,IR,3,0.6335275868574778,3,0,3
00878.png,IR,3,0.632307102282842,3,0,3
00896.png,IR,2,0.5132628530263901,2,0,2
00910.png,IR,2,0.6967359781265259,2,0,2
00916.png,IR,2,0.8470388352870941,2,0,2
00922.png,IR,2,0.6697957813739777,2,0,2
00926.png,IR,1,0.6422181129455566,1,0,2
00950.png,IR,3,0.7185638149579366,3,0,3
00958.png,IR,3,0.8229199647903442,3,0,3
00965.png,IR,3,0.8280880053838094,3,0,3
00976.png,IR,10,0.5294469267129898,6,4,9
00994.png,IR,6,0.4832780758539836,4,2,5
01017.png,IR,3,0.6547587911287943,3,0,3
01034.png,IR,6,0.5060265709956487,5,1,5
01043.png,IR,4,0.6759566515684128,4,0,5
01079.png,IR,1,0.39916762709617615,0,1,0
01093.png,IR,0,0.0,0,0,5
01101.png,IR,1,0.39286738634109497,0,1,5
01115.png,IR,6,0.415839617451032,3,3,4
01122.png,IR,4,0.5689037889242172,3,1,3
01136.png,IR,2,0.7265390455722809,2,0,2
01147.png,IR,1,0.5226075053215027,1,0,2
01156.png,IR,3,0.6852634946505228,2,1,2
