Image,Score,IR_Cnt,VI_Cnt,FusionMamba_Cnt,ITFuse_Cnt,MAEFuse_Cnt,SFDFuse_Cnt,LAMF_Cnt,LAMF_AvgConf,LAMF_Persons,LAMF_Vehicles
00112.png,19.545614828081693,8,11,16,15,14,16,17,0.546,11,5
00388.png,11.020263463258743,11,2,11,12,10,12,13,0.52,10,1
01267.png,10.82156740874052,1,0,1,1,0,1,4,0.322,0,1
00071.png,10.440061356340136,2,4,5,5,5,5,7,0.44,2,5
00149.png,9.574600622057915,7,6,9,8,7,9,10,0.575,3,7
00025.png,9.56799989938736,6,7,9,9,8,9,10,0.568,3,7
00441.png,9.12634548842907,8,2,9,9,8,9,10,0.626,6,2
00210.png,9.073126703500748,4,5,6,6,6,7,8,0.573,2,4
00202.png,8.576614271510731,8,9,11,10,10,10,11,0.577,8,2
02296.png,8.09548253118992,7,8,8,8,8,8,10,0.595,1,9
00196.png,8.094344368577003,7,8,10,10,10,10,10,0.594,7,1
00976.png,8.053577832877636,10,9,12,9,9,12,12,0.554,7,5
03708.png,7.977537354826927,4,8,8,7,6,9,10,0.478,4,5
02317.png,7.485989370129325,5,9,10,9,9,10,11,0.486,3,8
02455.png,6.989594174755944,7,6,8,5,8,7,9,0.49,2,7
01899.png,6.9485421776771545,1,1,2,2,1,2,3,0.449,2,0
02658.png,6.551059765475137,4,5,5,5,6,5,7,0.551,1,6
00994.png,6.529850363731384,6,8,8,7,7,8,9,0.53,5,3
00489.png,6.063713181763887,7,3,6,7,5,7,8,0.564,4,3
01136.png,6.051946848630905,2,2,3,2,2,4,4,0.552,3,1
00621.png,6.023870429396629,7,5,11,7,7,9,10,0.524,2,8
01640.png,5.94593346118927,1,2,3,3,4,4,4,0.446,3,1
00000.png,5.655903571844101,6,8,9,10,10,10,10,0.656,2,8
00537.png,5.655297338962555,9,9,11,12,9,11,11,0.655,5,6
01673.png,5.5235411003232,4,7,7,5,6,7,8,0.524,3,5
00242.png,5.515151927868525,5,7,10,9,7,10,9,0.515,5,2
02533.png,5.503152638673782,1,1,3,1,1,3,3,0.503,2,1
03354.png,5.483447232416698,3,5,6,4,4,7,7,0.483,2,5
